level_0,index,Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,BRAIN_N01_neg m/z,BRAIN_N01_neg RT mean,BRAIN_N01_neg Normalized Area,BRAIN_N50_neg m/z,BRAIN_N50_neg RT mean,BRAIN_N50_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM,Ratio_N50/N01,[M-H]-,[M+HCOO]-
100,100,,0.55,9.79,912.5305,10.09 - 10.80,1,21000.0,-,-,0.0,912.5305,10.63,41500.0,00:01.0,0.0,41500.0,00:01.0,10.63,,,#DIV/0!,['Sulfodihexosyl ceramide (d32:1)'],[]
101,101,,0.59,8.49,744.5162,7.98 - 8.30,1,21000.0,-,-,0.0,744.5162,8.17,42000.0,00:01.0,0.0,42000.0,00:01.0,8.17,,,#DIV/0!,['Phosphatidylserine (O-34:2)'],['Phosphatidylcholine (O-31:3)' 'Phosphatidylethanolamine (O-34:3)']
102,102,,0.59,8.7,876.4948,7.54 - 8.02,1,21000.0,-,-,0.0,876.4948,7.76,41400.0,00:01.0,0.0,41400.0,00:01.0,7.76,,,#DIV/0!,[],['Phosphatidylserine (40:8)']
103,103,,0.58,8.94,854.5123,6.94 - 8.06,1,21000.0,-,-,0.0,854.5123,7.72,42000.0,00:01.0,0.0,42000.0,00:01.0,7.72,,,#DIV/0!,[],['Phosphatidylserine (38:5)']
104,104,,0.54,9.11,966.6836,12.37 - 13.14,1,20000.0,-,-,0.0,966.6836,12.84,39600.0,00:01.0,0.0,39600.0,00:01.0,12.84,,,#DIV/0!,['Dihexosyl ceramide (d42:4)'],['Phosphatidylserine (O-47:5)']
105,105,,0.48,9.75,840.5609,12.13 - 12.85,1,20000.0,-,-,0.0,840.5609,12.48,40100.0,00:01.0,0.0,40100.0,00:01.0,12.48,,,#DIV/0!,['Phosphatidylethanolamine (44:9)'],[]
106,106,,0.53,8.97,846.6176,10.24 - 10.97,1,20000.0,-,-,0.0,846.6176,10.72,40500.0,00:01.0,0.0,40500.0,00:01.0,10.72,,,#DIV/0!,['Phosphatidylserine (40:0)'],"['Phosphatidylcholine (37:1)' 'Phosphatidylethanolamine (40:1)'
 'Hexosyl ceramide (d42:6)']"
107,107,,0.5,11.03,992.6592,12.12 - 12.74,1,19000.0,-,-,0.0,992.6592,12.45,37300.0,00:01.0,0.0,37300.0,00:01.0,12.45,,,#DIV/0!,[],['Phosphatidylserine (48:6)']
108,108,,0.52,9.71,960.5494,12.03 - 12.77,1,19000.0,-,-,0.0,960.5494,12.42,38800.0,00:01.0,0.0,38800.0,00:01.0,12.42,,,#DIV/0!,[],[]
109,109,,0.52,10.29,1126.6162,11.42 - 12.22,1,19000.0,-,-,0.0,1126.6162,11.89,38400.0,00:01.0,0.0,38400.0,00:01.0,11.89,,,#DIV/0!,[],[]
110,110,,0.54,9.08,733.5411,11.35 - 12.03,1,19000.0,-,-,0.0,733.5411,11.81,38400.0,00:01.0,0.0,38400.0,00:01.0,11.81,,,#DIV/0!,[],"['Phosphatidate (O-36:1)' 'Sphingomyelin (d33:1)'
 'Ceramide phosphoethanolamine (d36:1)']"
111,111,,0.54,8.95,854.5023,10.63 - 11.39,1,19000.0,-,-,0.0,854.5023,11.24,37800.0,00:01.0,0.0,37800.0,00:01.0,11.24,,,#DIV/0!,['Phosphatidylserine (42:10)'],['Phosphatidylethanolamine (42:11)']
112,112,,0.54,8.67,904.519,10.50 - 11.22,1,19000.0,-,-,0.0,904.519,11.02,37600.0,00:01.0,0.0,37600.0,00:01.0,11.02,,,#DIV/0!,[],[]
113,113,,0.54,9.01,930.5029,9.26 - 9.89,1,19000.0,-,-,0.0,930.5029,9.51,37900.0,00:01.0,0.0,37900.0,00:01.0,9.51,,,#DIV/0!,[],['Sulfodihexosyl ceramide (d30:1)']
114,114,,0.52,11.32,1578.0894,8.84 - 9.01,1,19000.0,-,-,0.0,1578.0894,8.93,38700.0,00:01.0,0.0,38700.0,00:01.0,8.93,,,#DIV/0!,[],[]
115,115,,0.55,9.44,832.5071,7.05 - 8.51,1,19000.0,-,-,0.0,832.5071,7.56,37100.0,00:01.0,0.0,37100.0,00:01.0,7.56,,,#DIV/0!,['Phosphatidylserine (40:7)'],['Phosphatidylethanolamine (40:8)']
116,116,,0.51,10.67,912.5158,6.46 - 7.58,1,19000.0,-,-,0.0,912.5158,7.29,38600.0,00:01.0,0.0,38600.0,00:01.0,7.29,,,#DIV/0!,[],[]
117,117,,0.54,8.97,808.6599,11.49 - 12.11,1,18000.0,-,-,0.0,808.6599,11.91,36100.0,00:01.0,0.0,36100.0,00:01.0,11.91,,,#DIV/0!,['Hexosyl ceramide (d42:2)'],[]
118,118,,0.53,9.12,800.6209,9.89 - 10.78,1,18000.0,-,-,0.0,800.6209,10.47,35200.0,00:01.0,0.0,35200.0,00:01.0,10.47,,,#DIV/0!,['Phosphatidylcholine (37:1)' 'Phosphatidylethanolamine (40:1)'],['Hexosyl ceramide (d38:1)' 'Ceramide phosphate (d44:2)']
119,119,,0.48,10.66,862.5901,7.12 - 8.26,1,18000.0,-,-,0.0,862.5901,8.02,36300.0,00:01.0,0.0,36300.0,00:01.0,8.02,,,#DIV/0!,['Phosphatidylserine (O-43:6)'],"['Phosphatidylcholine (O-40:7)' 'Phosphatidylethanolamine (O-43:7)'
 'Phosphatidylserine (38:1)']"
120,120,,0.59,8.7,480.3086,2.05 - 3.14,1,18000.0,-,-,0.0,480.3086,3.02,35000.0,00:01.0,0.0,35000.0,00:01.0,3.02,,,#DIV/0!,"['Lysophosphatidylcholine (15:0)' 'Lysophosphatidylethanolamine (18:0)'
 'Phosphatidylcholine (O-15:0)' 'Phosphatidylethanolamine (O-18:0)']",[]
121,121,,0.56,10.24,1026.7729,14.42 - 15.18,1,17000.0,-,-,0.0,1026.7729,14.96,34000.0,00:01.0,0.0,34000.0,00:01.0,14.96,,,#DIV/0!,['Dihexosyl ceramide (d46:2)'],[]
122,122,,0.54,9.07,858.7022,13.55 - 14.07,1,17000.0,-,-,0.0,858.7022,13.77,33500.0,00:01.0,0.0,33500.0,00:01.0,13.77,,,#DIV/0!,['Phosphatidylcholine (41:0)' 'Phosphatidylethanolamine (44:0)'],['Hexosyl ceramide (d42:0)' 'Ceramide phosphate (d48:1)']
123,123,,0.48,10.04,846.6581,13.00 - 13.55,1,17000.0,-,-,0.0,846.6581,13.29,33500.0,00:01.0,0.0,33500.0,00:01.0,13.29,,,#DIV/0!,['Phosphatidylserine (O-41:0)'],"['Phosphatidylcholine (O-38:1)' 'Phosphatidylethanolamine (O-41:1)'
 'Hexosyl ceramide (t40:0)']"
124,124,,0.58,8.71,890.6351,11.45 - 11.71,1,17000.0,-,-,0.0,890.6351,11.57,34400.0,00:01.0,0.0,34400.0,00:01.0,11.57,,,#DIV/0!,['Phosphatidylserine (O-45:6)' 'Sulfohexosyl ceramide (d42:1)'],"['Phosphatidylcholine (O-42:7)' 'Phosphatidylethanolamine (O-45:7)'
 'Hexosyl ceramide (t44:6)']"
125,125,,0.48,10.52,766.5726,10.28 - 11.51,1,17000.0,-,-,0.0,766.5726,10.99,33900.0,00:01.0,0.0,33900.0,00:01.0,10.99,,,#DIV/0!,"['Lysophosphatidylcholine (36:4)' 'Phosphatidylcholine (O-36:4)'
 'Phosphatidylethanolamine (O-39:4)']",[]
126,126,,0.55,9.45,558.2122,5.51 - 6.54,1,17000.0,-,-,0.0,558.2122,6.22,34100.0,00:01.0,0.0,34100.0,00:01.0,6.22,,,#DIV/0!,[],[]
127,127,,0.53,9.02,924.4962,3.64 - 8.02,1,17000.0,-,-,0.0,924.4962,4.54,34400.0,00:01.0,0.0,34400.0,00:01.0,4.54,,,#DIV/0!,[],['Phosphatidylserine (44:12)']
128,128,,0.51,11.04,830.6694,12.12 - 12.63,1,16000.0,-,-,0.0,830.6694,12.47,31400.0,00:01.0,0.0,31400.0,00:01.0,12.47,,,#DIV/0!,['Phosphatidylcholine (39:0)' 'Phosphatidylethanolamine (42:0)'],['Hexosyl ceramide (d40:0)' 'Ceramide phosphate (d46:1)']
129,129,,0.5,12.04,874.629,10.21 - 10.80,1,16000.0,-,-,0.0,874.629,10.56,32400.0,00:01.0,0.0,32400.0,00:01.0,10.56,,,#DIV/0!,"['Phosphatidylcholine (43:6)' 'Phosphatidylethanolamine (46:6)'
 'Dihexosyl ceramide (d35:1)']",['Ceramide phosphate (d50:7)']
130,130,,0.52,10.46,906.541,10.01 - 10.66,1,16000.0,-,-,0.0,906.541,10.21,31400.0,00:01.0,0.0,31400.0,00:01.0,10.21,,,#DIV/0!,[],['Phosphatidylserine (42:7)']
131,131,,0.46,9.44,864.5703,6.30 - 9.47,1,16000.0,-,-,0.0,864.5703,7.3,31300.0,00:01.0,0.0,31300.0,00:01.0,7.3,,,#DIV/0!,['Phosphatidylserine (42:5)'],"['Phosphatidylcholine (39:6)' 'Phosphatidylethanolamine (42:6)'
 'Dihexosyl ceramide (d31:1)']"
132,132,,0.46,9.45,832.5106,6.29 - 6.96,1,16000.0,-,-,0.0,832.5106,6.51,32000.0,00:01.0,0.0,32000.0,00:01.0,6.51,,,#DIV/0!,['Phosphatidylserine (40:7)'],['Phosphatidylethanolamine (40:8)']
133,133,,0.55,9.61,610.251,5.57 - 6.40,1,16000.0,-,-,0.0,610.251,6.22,32100.0,00:01.0,0.0,32100.0,00:01.0,6.22,,,#DIV/0!,[],[]
134,134,,0.52,11.12,924.6737,13.01 - 13.53,1,15000.0,-,-,0.0,924.6737,13.3,29300.0,00:01.0,0.0,29300.0,00:01.0,13.3,,,#DIV/0!,['Phosphatidylserine (46:3)'],['Phosphatidylcholine (43:4)' 'Phosphatidylethanolamine (46:4)']
135,135,,0.53,9.04,770.6046,12.70 - 13.40,1,15000.0,-,-,0.0,770.6046,13.04,29700.0,00:01.0,0.0,29700.0,00:01.0,13.04,,,#DIV/0!,['Phosphatidylcholine (O-36:2)' 'Phosphatidylethanolamine (O-39:2)'],[]
136,136,,0.52,11.19,800.6144,12.66 - 13.45,1,15000.0,-,-,0.0,800.6144,12.96,29300.0,00:01.0,0.0,29300.0,00:01.0,12.96,,,#DIV/0!,"['Phosphatidylcholine (37:1)' 'Phosphatidylethanolamine (40:1)'
 'Hexosyl ceramide (d42:6)']",['Ceramide phosphate (d44:2)']
137,137,,0.51,10.3,1008.6547,12.48 - 13.31,1,15000.0,-,-,0.0,1008.6547,12.92,30900.0,00:01.0,0.0,30900.0,00:01.0,12.92,,,#DIV/0!,['Ganglioside Gb3 (d33:1)'],['Dihexosyl ceramide (d42:6)' 'Sulfohexosyl ceramide (d48:7)']
138,138,,0.52,10.27,814.546,12.06 - 12.80,1,15000.0,-,-,0.0,814.546,12.44,29200.0,00:01.0,0.0,29200.0,00:01.0,12.44,,,#DIV/0!,['Phosphatidylethanolamine (42:8)'],[]
139,139,,0.46,9.32,1454.0873,9.47 - 9.97,1,15000.0,-,-,0.0,1454.0873,9.89,30100.0,00:01.0,0.0,30100.0,00:01.0,9.89,,,#DIV/0!,[],[]
140,140,,0.53,9.34,814.4963,7.29 - 8.34,1,15000.0,-,-,0.0,814.4963,8.26,30300.0,00:01.0,0.0,30300.0,00:01.0,8.26,,,#DIV/0!,['Phosphatidylserine (O-40:9)'],['Phosphatidylserine (35:4)']
141,141,,0.47,10.32,844.5828,7.36 - 8.43,1,15000.0,-,-,0.0,844.5828,8.21,30200.0,00:01.0,0.0,30200.0,00:01.0,8.21,,,#DIV/0!,['Phosphatidylethanolamine (44:7)'],[]
142,142,,0.53,8.95,808.5103,7.00 - 8.02,1,15000.0,-,-,0.0,808.5103,7.16,29500.0,00:01.0,0.0,29500.0,00:01.0,7.16,,,#DIV/0!,['Phosphatidylserine (38:5)'],['Phosphatidylcholine (35:6)' 'Phosphatidylethanolamine (38:6)']
143,143,,0.48,9.12,808.5096,3.39 - 8.02,1,15000.0,-,-,0.0,808.5096,4.91,29500.0,00:01.0,0.0,29500.0,00:01.0,4.91,,,#DIV/0!,['Phosphatidylserine (38:5)'],['Phosphatidylcholine (35:6)' 'Phosphatidylethanolamine (38:6)']
144,144,,0.55,9.55,566.3455,0.36 - 2.39,1,15000.0,-,-,0.0,566.3455,2.23,30700.0,00:01.0,0.0,30700.0,00:01.0,2.23,,,#DIV/0!,['Lysophosphatidylserine (21:0)' 'Phosphatidylserine (O-21:0)'],"['Lysophosphatidylcholine (18:1)' 'Phosphatidylcholine (O-18:1)'
 'Phosphatidylethanolamine (O-21:1)' 'Hexosyl ceramide (t20:0)']"
145,145,,0.55,9.86,540.3299,0.36 - 2.22,1,15000.0,-,-,0.0,540.3299,2.05,30300.0,00:01.0,0.0,30300.0,00:01.0,2.05,,,#DIV/0!,[],"['Lysophosphatidylcholine (16:0)' 'Lysophosphatidylethanolamine (19:0)'
 'Phosphatidylcholine (O-16:0)' 'Phosphatidylethanolamine (O-19:0)']"
146,146,,0.54,8.95,1454.0055,16.24 - 16.74,1,14000.0,-,-,0.0,1454.0055,16.54,27900.0,00:01.0,0.0,27900.0,00:01.0,16.54,,,#DIV/0!,[],[]
147,147,,0.52,10.83,796.6205,12.81 - 13.55,1,14000.0,-,-,0.0,796.6205,13.17,28900.0,00:01.0,0.0,28900.0,00:01.0,13.17,,,#DIV/0!,['Phosphatidylcholine (O-38:3)'],[]
148,148,,0.55,8.83,914.4631,6.98 - 7.84,1,14000.0,-,-,0.0,914.4631,7.65,27500.0,00:01.0,0.0,27500.0,00:01.0,7.65,,,#DIV/0!,[],[]
149,149,,0.48,10.52,892.4858,7.52 - 7.76,1,14000.0,-,-,0.0,892.4858,7.65,28800.0,00:01.0,0.0,28800.0,00:01.0,7.65,,,#DIV/0!,[],[]
150,150,,0.59,8.59,806.5423,7.36 - 7.61,1,14000.0,-,-,0.0,806.5423,7.5,28000.0,00:01.0,0.0,28000.0,00:01.0,7.5,,,#DIV/0!,['Phosphatidylserine (O-39:6)' 'Sulfohexosyl ceramide (d36:1)'],['Phosphatidylcholine (O-36:7)' 'Phosphatidylethanolamine (O-39:7)']
151,151,,0.51,10.43,682.5895,12.88 - 13.48,1,13000.0,-,-,0.0,682.5895,13.25,25100.0,00:01.0,0.0,25100.0,00:01.0,13.25,,,#DIV/0!,[],['Ceramide (t40:1)']
152,152,,0.53,9.19,872.6363,12.90 - 13.27,1,13000.0,-,-,0.0,872.6363,12.99,26800.0,00:01.0,0.0,26800.0,00:01.0,12.99,,,#DIV/0!,['Phosphatidylserine (42:1)'],['Phosphatidylcholine (39:2)' 'Phosphatidylethanolamine (42:2)']
153,153,,0.49,9.82,1048.5995,11.37 - 12.17,1,13000.0,-,-,0.0,1048.5995,11.9,26300.0,00:01.0,0.0,26300.0,00:01.0,11.9,,,#DIV/0!,[],[]
154,154,,0.5,11.5,683.5255,11.04 - 11.72,1,13000.0,-,-,0.0,683.5255,11.49,26600.0,00:01.0,0.0,26600.0,00:01.0,11.49,,,#DIV/0!,[],['Monoalkylmonoacylglycerol (O-39:7)']
155,155,,0.53,9.19,844.6037,11.13 - 11.63,1,13000.0,-,-,0.0,844.6037,11.38,26400.0,00:01.0,0.0,26400.0,00:01.0,11.38,,,#DIV/0!,['Phosphatidylserine (40:1)'],"['Phosphatidylcholine (37:2)' 'Phosphatidylethanolamine (40:2)'
 'Hexosyl ceramide (d42:7)']"
156,156,,0.39,7.11,880.5142,10.72 - 11.45,1,13000.0,-,-,0.0,880.5142,11.17,26100.0,00:01.0,0.0,26100.0,00:01.0,11.17,,,#DIV/0!,['Phosphatidylserine (44:11)'],['Phosphatidylethanolamine (44:12)']
157,157,,0.48,9.78,888.5303,10.21 - 10.84,1,13000.0,-,-,0.0,888.5303,10.28,25000.0,00:01.0,0.0,25000.0,00:01.0,10.28,,,#DIV/0!,[],['Phosphatidylserine (O-42:9)']
158,158,,0.55,9.41,913.5756,8.30 - 8.80,1,13000.0,-,-,0.0,913.5756,8.72,26700.0,00:01.0,0.0,26700.0,00:01.0,8.72,,,#DIV/0!,['Phosphatidylinositol (40:4)'],[]
159,159,,0.51,10.87,953.5385,6.87 - 8.06,1,13000.0,-,-,0.0,953.5385,6.97,25700.0,00:01.0,0.0,25700.0,00:01.0,6.97,,,#DIV/0!,['Phosphatidylglycerophosphate (44:8)'],['Phosphatidylinositol (40:7)' 'Dihexosyldiacylglycerol (34:6)']
160,160,,0.33,5.46,940.7028,6.03 - 6.30,1,13000.0,-,-,0.0,940.7028,6.24,26000.0,00:01.0,0.0,26000.0,00:01.0,6.24,,,#DIV/0!,[],['Phosphatidylcholine (44:3)']
161,161,,0.51,11.13,1136.9248,16.50 - 16.89,1,12000.0,-,-,0.0,1136.9248,16.69,23700.0,00:01.0,0.0,23700.0,00:01.0,16.69,,,#DIV/0!,[],[]
162,162,,0.49,10.49,950.6879,12.84 - 13.57,1,12000.0,-,-,0.0,950.6879,13.23,23700.0,00:01.0,0.0,23700.0,00:01.0,13.23,,,#DIV/0!,['Phosphatidylserine (48:4)'],"['Phosphatidylcholine (45:5)' 'Phosphatidylethanolamine (48:5)'
 'Dihexosyl ceramide (d37:0)']"
163,163,,0.5,12.03,1054.5525,12.14 - 12.88,1,12000.0,-,-,0.0,1054.5525,12.56,24600.0,00:01.0,0.0,24600.0,00:01.0,12.56,,,#DIV/0!,[],[]
164,164,,0.48,10.16,908.5488,12.16 - 12.82,1,12000.0,-,-,0.0,908.5488,12.54,23400.0,00:01.0,0.0,23400.0,00:01.0,12.54,,,#DIV/0!,['Phosphatidylserine (46:11)'],['Phosphatidylethanolamine (46:12)']
165,165,,0.49,9.98,1028.5355,12.06 - 12.71,1,12000.0,-,-,0.0,1028.5355,12.45,23300.0,00:01.0,0.0,23300.0,00:01.0,12.45,,,#DIV/0!,[],[]
166,166,,0.51,10.82,862.6514,11.93 - 12.27,1,12000.0,-,-,0.0,862.6514,11.96,23400.0,00:01.0,0.0,23400.0,00:01.0,11.96,,,#DIV/0!,[],['Phosphatidylcholine (38:0)' 'Phosphatidylethanolamine (41:0)']
167,167,,0.51,11.53,914.6221,11.45 - 12.02,1,12000.0,-,-,0.0,914.6221,11.81,24300.0,00:01.0,0.0,24300.0,00:01.0,11.81,,,#DIV/0!,[],['Phosphatidylcholine (O-44:9)' 'Phosphatidylserine (42:3)']
168,168,,0.46,9.53,922.4865,10.59 - 11.37,1,12000.0,-,-,0.0,922.4865,10.8,23400.0,00:01.0,0.0,23400.0,00:01.0,10.8,,,#DIV/0!,[],[]
169,169,,0.47,9.98,906.6306,10.17 - 11.22,1,12000.0,-,-,0.0,906.6306,10.28,23900.0,00:01.0,0.0,23900.0,00:01.0,10.28,,,#DIV/0!,['Phosphatidylserine (45:5)'],['Phosphatidylcholine (42:6)' 'Phosphatidylethanolamine (45:6)']
170,170,,0.51,10.52,860.5389,8.72 - 9.13,1,12000.0,-,-,0.0,860.5389,8.84,23000.0,00:01.0,0.0,23000.0,00:01.0,8.84,,,#DIV/0!,['Phosphatidylserine (42:7)'],['Phosphatidylethanolamine (42:8)']
171,171,,0.44,8.29,904.6127,8.68 - 10.28,1,12000.0,-,-,0.0,904.6127,8.76,24600.0,00:01.0,0.0,24600.0,00:01.0,8.76,,,#DIV/0!,['Phosphatidylserine (45:6)'],['Phosphatidylcholine (42:7)']
172,172,,0.51,10.22,859.5245,8.30 - 8.68,1,12000.0,-,-,0.0,859.5245,8.46,24700.0,00:01.0,0.0,24700.0,00:01.0,8.46,,,#DIV/0!,['Phosphatidylinositol (36:3)'],[]
173,173,,0.54,8.8,808.5072,7.58 - 7.94,1,12000.0,-,-,0.0,808.5072,7.75,24700.0,00:01.0,0.0,24700.0,00:01.0,7.75,,,#DIV/0!,['Phosphatidylserine (38:5)'],['Phosphatidylcholine (35:6)' 'Phosphatidylethanolamine (38:6)']
174,174,,0.46,9.52,688.4881,6.69 - 7.94,1,12000.0,-,-,0.0,688.4881,7.58,24400.0,00:01.0,0.0,24400.0,00:01.0,7.58,,,#DIV/0!,"['Phosphatidylcholine (29:1)' 'Phosphatidylethanolamine (32:1)'
 'Hexosyl ceramide (d34:6)']",['Ceramide phosphate (d36:2)']
175,175,,0.46,9.34,924.4948,4.78 - 8.02,1,12000.0,-,-,0.0,924.4948,5.65,24900.0,00:01.0,0.0,24900.0,00:01.0,5.65,,,#DIV/0!,[],['Phosphatidylserine (44:12)']
176,176,,0.5,11.67,1478.0037,16.16 - 16.78,1,11000.0,-,-,0.0,1478.0037,16.5,22100.0,00:01.0,0.0,22100.0,00:01.0,16.5,,,#DIV/0!,[],[]
177,177,,0.51,10.54,1108.8955,16.15 - 16.67,1,11000.0,-,-,0.0,1108.8955,16.36,22200.0,00:01.0,0.0,22200.0,00:01.0,16.36,,,#DIV/0!,[],[]
178,178,,0.51,10.84,852.6075,13.39 - 13.99,1,11000.0,-,-,0.0,852.6075,13.67,22800.0,00:01.0,0.0,22800.0,00:01.0,13.67,,,#DIV/0!,['Phosphatidylserine (O-42:4)'],['Phosphatidylcholine (O-39:5)' 'Phosphatidylethanolamine (O-42:5)']
179,179,,0.48,9.92,900.7113,13.04 - 14.24,1,11000.0,-,-,0.0,900.7113,13.42,21900.0,00:01.0,0.0,21900.0,00:01.0,13.42,,,#DIV/0!,['Phosphatidylserine (O-45:1)'],['Phosphatidylcholine (O-42:2)' 'Hexosyl ceramide (t44:1)']
180,180,,0.49,10.03,874.6981,13.12 - 13.80,1,11000.0,-,-,0.0,874.6981,13.38,22900.0,00:01.0,0.0,22900.0,00:01.0,13.38,,,#DIV/0!,['Phosphatidylserine (O-43:0)'],"['Phosphatidylcholine (O-40:1)' 'Phosphatidylethanolamine (O-43:1)'
 'Hexosyl ceramide (t42:0)']"
181,181,,0.51,11.23,826.6309,12.77 - 13.43,1,11000.0,-,-,0.0,826.6309,13.14,21500.0,00:01.0,0.0,21500.0,00:01.0,13.14,,,#DIV/0!,['Phosphatidylcholine (39:2)' 'Phosphatidylethanolamine (42:2)'],[]
182,182,,0.46,9.37,914.6837,12.53 - 13.14,1,11000.0,-,-,0.0,914.6837,12.76,22600.0,00:01.0,0.0,22600.0,00:01.0,12.76,,,#DIV/0!,['Phosphatidylserine (45:1)'],['Phosphatidylcholine (42:2)']
183,183,,0.49,10.4,936.6722,12.13 - 12.74,1,11000.0,-,-,0.0,936.6722,12.56,22700.0,00:01.0,0.0,22700.0,00:01.0,12.56,,,#DIV/0!,['Phosphatidylserine (47:4)'],"['Phosphatidylcholine (44:5)' 'Phosphatidylethanolamine (47:5)'
 'Dihexosyl ceramide (d36:0)']"
184,184,,0.46,9.62,874.6454,11.71 - 12.31,1,11000.0,-,-,0.0,874.6454,12.16,21900.0,00:01.0,0.0,21900.0,00:01.0,12.16,,,#DIV/0!,['Phosphatidylserine (42:0)'],"['Phosphatidylcholine (39:1)' 'Phosphatidylethanolamine (42:1)'
 'Hexosyl ceramide (d44:6)']"
185,185,,0.5,11.12,638.5699,11.31 - 12.06,1,11000.0,-,-,0.0,638.5699,11.83,22400.0,00:01.0,0.0,22400.0,00:01.0,11.83,,,#DIV/0!,[],['Ceramide (d38:1)']
186,186,,0.52,10.89,902.6329,10.66 - 10.98,1,11000.0,-,-,0.0,902.6329,10.82,22300.0,00:01.0,0.0,22300.0,00:01.0,10.82,,,#DIV/0!,['Phosphatidylserine (O-46:7)'],['Phosphatidylethanolamine (O-46:8)']
187,187,,0.49,10.4,870.6207,10.21 - 10.99,1,11000.0,-,-,0.0,870.6207,10.67,22900.0,00:01.0,0.0,22900.0,00:01.0,10.67,,,#DIV/0!,['Phosphatidylserine (42:2)'],['Phosphatidylcholine (39:3)' 'Phosphatidylethanolamine (42:3)']
188,188,,0.44,8.21,972.5031,10.36 - 11.13,1,11000.0,-,-,0.0,972.5031,10.63,22200.0,00:01.0,0.0,22200.0,00:01.0,10.63,,,#DIV/0!,[],[]
189,189,,0.5,10.73,1016.501,10.17 - 10.82,1,11000.0,-,-,0.0,1016.501,10.44,21400.0,00:01.0,0.0,21400.0,00:01.0,10.44,,,#DIV/0!,[],[]
190,190,,0.53,8.9,998.5296,10.17 - 10.47,1,11000.0,-,-,0.0,998.5296,10.32,22900.0,00:01.0,0.0,22900.0,00:01.0,10.32,,,#DIV/0!,[],[]
191,191,,0.45,9.26,1514.1427,9.76 - 10.14,1,11000.0,-,-,0.0,1514.1427,9.97,23000.0,00:01.0,0.0,23000.0,00:01.0,9.97,,,#DIV/0!,[],[]
192,192,,0.44,8.16,1478.0804,9.39 - 10.01,1,11000.0,-,-,0.0,1478.0804,9.72,22100.0,00:01.0,0.0,22100.0,00:01.0,9.72,,,#DIV/0!,[],[]
193,193,,0.48,10.28,842.5878,8.06 - 8.76,1,11000.0,-,-,0.0,842.5878,8.72,21900.0,00:01.0,0.0,21900.0,00:01.0,8.72,,,#DIV/0!,['Phosphatidylserine (40:2)'],['Phosphatidylcholine (37:3)' 'Phosphatidylethanolamine (40:3)']
194,194,,0.55,9.11,953.2301,8.26 - 8.43,1,11000.0,-,-,0.0,953.2301,8.34,22400.0,00:01.0,0.0,22400.0,00:01.0,8.34,,,#DIV/0!,['Phosphatidylinositol trisphosphate (26:6)'],[]
195,195,,0.42,7.92,866.5841,7.24 - 8.51,1,11000.0,-,-,0.0,866.5841,7.56,21600.0,00:01.0,0.0,21600.0,00:01.0,7.56,,,#DIV/0!,['Phosphatidylserine (42:4)'],"['Phosphatidylcholine (39:5)' 'Phosphatidylethanolamine (42:5)'
 'Dihexosyl ceramide (d31:0)']"
196,196,,0.48,9.59,918.5438,6.38 - 7.42,1,11000.0,-,-,0.0,918.5438,7.29,22100.0,00:01.0,0.0,22100.0,00:01.0,7.29,,,#DIV/0!,[],[]
197,197,,0.53,9.28,992.483,6.17 - 7.98,1,11000.0,-,-,0.0,992.483,6.5,22400.0,00:01.0,0.0,22400.0,00:01.0,6.5,,,#DIV/0!,[],[]
198,198,,0.44,8.16,846.5,5.52 - 7.19,1,11000.0,-,-,0.0,846.5,6.33,21300.0,00:01.0,0.0,21300.0,00:01.0,6.33,,,#DIV/0!,[],['Sulfohexosyl ceramide (d36:4)']
199,199,,0.29,5.51,881.5145,6.20 - 6.61,1,11000.0,-,-,0.0,881.5145,6.28,21100.0,00:01.0,0.0,21100.0,00:01.0,6.28,,,#DIV/0!,['Phosphatidylinositol (38:6)'],[]
200,200,,0.53,8.96,465.3289,5.66 - 6.31,1,11000.0,-,-,0.0,465.3289,6.24,22100.0,00:01.0,0.0,22100.0,00:01.0,6.24,,,#DIV/0!,[],[]
201,201,,0.47,9.74,880.5106,5.55 - 7.56,1,11000.0,-,-,0.0,880.5106,6.05,21400.0,00:01.0,0.0,21400.0,00:01.0,6.05,,,#DIV/0!,['Phosphatidylserine (44:11)'],['Phosphatidylethanolamine (44:12)']
202,202,,0.52,10.66,1456.0204,16.67 - 16.86,1,10000.0,-,-,0.0,1456.0204,16.75,20200.0,00:01.0,0.0,20200.0,00:01.0,16.75,,,#DIV/0!,[],[]
203,203,,0.5,11.53,711.5571,12.57 - 13.19,1,10000.0,-,-,0.0,711.5571,12.96,20600.0,00:01.0,0.0,20600.0,00:01.0,12.96,,,#DIV/0!,[],['Monoalkylmonoacylglycerol (O-41:7)']
204,204,,0.47,9.22,1142.6132,11.19 - 11.91,1,10000.0,-,-,0.0,1142.6132,11.42,20700.0,00:01.0,0.0,20700.0,00:01.0,11.42,,,#DIV/0!,[],[]
205,205,,0.54,8.82,890.5611,9.64 - 10.28,1,10000.0,-,-,0.0,890.5611,10.09,20300.0,00:01.0,0.0,20300.0,00:01.0,10.09,,,#DIV/0!,['Phosphatidylethanolamine (48:12)'],['Phosphatidylserine (O-42:8)']
