"LTPProtein	ProteinDomain	FullIdentityOfLipid	Lipid	Screen	Intensity	Adduct	TotalCarbonChainLength	TotalCarbonChainUnsaturations	IonMode	mz	MeanOfRetentionTime	MinimumOfRetentionTime	MaximumOfRetentionTime	LipidAmbiguity	LikelySubclass";;;;
"GLTP	GLTP	[M+HCOO+2x(HCOONa)]-: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	60000	[M+HCOO+2x(HCOONa)]-	42	1	neg	1008.6491	15.03	14.84	15.22	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*42:3)	HexCer(d*42:3)	in cellulo	57000	[M+HCOO]-	42	3	neg	852.6489	12.94	12.75	13.33	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (d*42:1)	HexCer(d*42:1)	in cellulo	56000	[M+HCOO+1x(HCOONa)]-	42	1	neg	924.6668	15.47	15.35	15.68	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*34:1)	HexCer(t*34:1)	in cellulo	49000	[M+HCOO+1x(HCOONa)]-	34	1	neg	828.5377	9.4	9.1	9.56	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (d*40:1)	HexCer(d*40:1)	in cellulo	46000	[M+HCOO+1x(HCOONa)]-	40	1	neg	896.6356	14.13	13.96	14.31	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+2x(HCOONa)]-: Hexosyl ceramide (t*40:2)	HexCer(t*40:2)	in cellulo	41000	[M+HCOO+2x(HCOONa)]-	40	2	neg	978.6012	12.54	12.29	12.71	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO+3x(HCOONa)]-: Hexosyl ceramide (t*42:2)	HexCer(t*42:2)	in cellulo	35000	[M+HCOO+3x(HCOONa)]-	42	2	neg	1074.6178	13.96	13.84	14.18	Hex-DHCer-OH"; Hex-tCer;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO+2x(HCOONa)]-: Hexosyl ceramide (t*40:1)	HexCer(t*40:1)	in cellulo	34000	[M+HCOO+2x(HCOONa)]-	40	1	neg	980.6165	13.67	13.5	13.88	Hex-tCer"; Hex-DHCer-OH;" Hex-dCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*36:2)	HexCer(d*36:2)	in cellulo	32000	[M+HCOO]-	36	2	neg	770.571	10.08	9.82	10.41	Hex-DHCer";" Hex-dCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO+3x(HCOONa)]-: Hexosyl ceramide (t*42:1)	HexCer(t*42:1)	in cellulo	32000	[M+HCOO+3x(HCOONa)]-	42	1	neg	1076.6343	15	14.89	15.18	Hex-dCer-OH"; Hex-tCer;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (t*36:2)	HexCer(t*36:2)	in cellulo	25000	[M+HCOO]-	36	2	neg	786.5657	9.7	9.39	9.82	Hex-tCer"; Hex-dCer-OH;" Hex-DHCer-OH	t*HexCer";;
"GLTP	GLTP	[M+HCOO]-: Hexosyl ceramide (d*41:1)	HexCer(d*41:1)	in cellulo	24000	[M+HCOO]-	41	1	neg	842.6648	14.82	14.64	14.97	Hex-dCer";" Hex-DHCer	d*HexCer";;;
"GLTP	GLTP	[M+HCOO]-: Dihexosyl ceramide (t*40:2)	Hex2Cer(t*40:2)	in cellulo	23000	[M+HCOO]-	40	2	neg	1004.6798	11.91	11.67	12.12	Hex2-tCer"; Hex2-DHCer-OH;" Hex2-dCer-OH	t*Hex2Cer";;
"GLTP	GLTP	[M+HCOO+1x(HCOONa)]-: Hexosyl ceramide (t*34:2)	HexCer(t*34:2)	in cellulo	18000	[M+HCOO+1x(HCOONa)]-	34	2	neg	826.5219	8.4	8.1	8.55	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTP	GLTP	[M+HCOO+2x(HCOONa)]-: Hexosyl ceramide (t*34:1)	HexCer(t*34:1)	in cellulo	17000	[M+HCOO+2x(HCOONa)]-	34	1	neg	896.5239	9.4	9.14	9.53	Hex-DHCer-OH"; Hex-dCer-OH;" Hex-tCer	t*HexCer";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	3700000	[M+H]+	34	1	pos	703.5845	8.78	8.36	9.02	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	2100000	[M+H]+	34	1	pos	618.4385	8.39	7.61	8.76	dCer-1P"; DHCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*42:2)	SM(d*42:2)	in cellulo	1300000	[M+H]+	42	2	pos	813.6928	12.84	12.58	13.34	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*40:1)	SM(d*40:1)	in cellulo	890000	[M+H]+	40	1	pos	787.6771	12.89	12.62	13.18	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*40:2)	SM(d*40:2)	in cellulo	680000	[M+H]+	40	2	pos	785.6626	11.49	11.22	12.36	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*34:2)	SM(d*34:2)	in cellulo	390000	[M+H]+	34	2	pos	701.5693	7.86	7.48	8.29	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*42:2)	CerP(d*42:2)	in cellulo	330000	[M+H]+	42	2	pos	728.6052	12.22	11.82	13.38	dCer-1P"; dCer-1P;" DHCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*36:1)	SM(d*36:1)	in cellulo	300000	[M+H]+	36	1	pos	731.6162	10.1	9.78	10.37	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*42:3)	SM(d*42:3)	in cellulo	300000	[M+H]+	42	3	pos	811.6796	11.74	11.49	12.12	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*32:1)	SM(d*32:1)	in cellulo	270000	[M+H]+	32	1	pos	675.5527	7.64	7.26	7.81	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*38:1)	SM(d*38:1)	in cellulo	270000	[M+H]+	38	1	pos	759.6471	11.48	11.18	11.78	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*34:2)	CerP(d*34:2)	in cellulo	240000	[M+H]+	34	2	pos	616.4237	7.55	6.78	7.94	DHCer-1P"; dCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*41:2)	SM(d*41:2)	in cellulo	200000	[M+H]+	41	2	pos	799.6782	12.15	11.87	12.77	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*32:1)	CerP(d*32:1)	in cellulo	200000	[M+H]+	32	1	pos	590.463	7.36	6.63	7.59	DHCer-1P"; dCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*42:1)	SM(d*42:1)	in cellulo	180000	[M+H]+	42	1	pos	815.7106	14.29	14.02	14.62	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*33:1)	SM(d*33:1)	in cellulo	160000	[M+H]+	33	1	pos	689.5686	8.21	7.83	8.37	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (DH34:0)	SM(DH34:0)	in cellulo	150000	[M+H]+	34	0	pos	705.5998	9.27	8.43	9.54	DHSM	DHSM";;;;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (d*36:2)	SM(d*36:2)	in cellulo	140000	[M+H]+	36	2	pos	729.6006	9.04	8.7	9.54	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+Na]+: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	120000	[M+Na]+	34	1	pos	725.5671	8.78	8.43	8.98	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*40:1)	CerP(d*40:1)	in cellulo	120000	[M+H]+	40	1	pos	702.5904	12.2	11.78	12.69	dCer-1P"; DHCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+HCOOH]+: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	110000	[M+HCOOH]+	34	1	pos	663.4919	8.36	7.76	8.72	dCer-1P"; DHCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Ceramide phosphate (d*36:2)	CerP(d*36:2)	in cellulo	95000	[M+H]+	36	2	pos	644.4521	8.62	8.03	9.37	dCer-1P"; DHCer-1P;" dCer-1P	d*CerP";;
"GLTPD1	GLTP	[M+H]+: Sphingomyelin (t*34:2)	SM(t*34:2)	in cellulo	50000	[M+H]+	34	2	pos	717.5641	7.49	7.13	7.72	DHSM-OH"; tSM;" dSM-OH	t*SM";;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	1100000	[M-H]-	34	1	neg	616.4708	8.39	7.75	8.71	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	480000	[M+HCOO]-	34	1	neg	747.5655	8.78	8.41	8.96	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*42:2)	CerP(d*42:2)	in cellulo	150000	[M-H]-	42	2	neg	726.5801	12.17	11.88	13	dCer-1P";" DHCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H]-:Ceramide phosphate (d*34:2)	CerP(d*34:2)	in cellulo	140000	[M-H]-	34	2	neg	614.4554	7.53	6.99	7.91	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*32:1)	CerP(d*32:1)	in cellulo	130000	[M-H]-	32	1	neg	588.4392	7.35	6.78	7.58	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+1x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	110000	[M-H+1x(HCOONa)]-	34	1	neg	684.4581	8.37	7.87	8.62	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+2x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	94000	[M-H+2x(HCOONa)]-	34	1	neg	752.4457	8.37	7.87	8.62	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO]-: Sphingomyelin (d*42:2)	SM(d*42:2)	in cellulo	92000	[M+HCOO]-	42	2	neg	857.6749	12.82	12.58	13.27	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M+HCOO+1x(HCOONa)]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	66000	[M+HCOO+1x(HCOONa)]-	34	1	neg	815.5522	8.77	8.41	8.96	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+HCOO]-: Sphingomyelin (d*40:1)	SM(d*40:1)	in cellulo	66000	[M+HCOO]-	40	1	neg	831.6593	12.86	12.62	13.1	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*42:3)	CerP(d*42:3)	in cellulo	60000	[M-H]-	42	3	neg	724.5648	11.15	10.88	11.68	dCer-1P";" DHCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO+2x(HCOONa)]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	58000	[M+HCOO+2x(HCOONa)]-	34	1	neg	883.5402	8.75	8.41	8.95	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*40:1)	CerP(d*40:1)	in cellulo	57000	[M-H]-	40	1	neg	700.5646	12.24	11.96	12.64	dCer-1P";" DHCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+Na+5x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	53000	[M-2H+Na+5x(HCOONa)]-	34	1	neg	978.3899	8.37	7.9	8.62	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+3x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	53000	[M-H+3x(HCOONa)]-	34	1	neg	820.4336	8.37	7.87	8.57	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO+3x(HCOONa)]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	46000	[M+HCOO+3x(HCOONa)]-	34	1	neg	951.5279	8.77	8.45	8.96	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-:Ceramide phosphate (d*36:1)	CerP(d*36:1)	in cellulo	46000	[M-H]-	36	1	neg	644.5023	9.58	9.16	9.87	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+Na+4x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	46000	[M-2H+Na+4x(HCOONa)]-	34	1	neg	910.4024	8.37	7.87	8.54	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*36:2)	CerP(d*36:2)	in cellulo	44000	[M-H]-	36	2	neg	642.4863	8.62	8.15	9.04	dCer-1P";" DHCer-1P	d*CerP";;;
"GLTPD1	GLTP	 [M+HCOO]-: Sphingomyelin (d*34:2)	SM(d*34:2)	in cellulo	41000	[M+HCOO]-	34	2	neg	745.5503	7.84	7.48	8.21	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H+Na+6x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	41000	[M-2H+Na+6x(HCOONa)]-	34	1	neg	1046.377	8.37	7.87	8.62	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M-H+Na+3x(HCOONa)]-: Ceramide phosphate (d*34:1)	CerP(d*34:1)	in cellulo	40000	[M-2H+Na+3x(HCOONa)]-	34	1	neg	842.4151	8.37	7.9	8.58	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO+4x(HCOONa)]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	38000	[M+HCOO+4x(HCOONa)]-	34	1	neg	1019.5143	8.77	8.45	8.92	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+HCOO]-: Sphingomyelin (d*36:1)	SM(d*36:1)	in cellulo	32000	[M+HCOO]-	36	1	neg	775.5966	10.06	9.83	10.29	DHSM";" dSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*33:1)	CerP(d*33:1)	in cellulo	31000	[M-H]-	33	1	neg	602.4552	7.82	7.33	8.04	DHCer-1P";" dCer-1P	d*CerP";;;
"GLTPD1	GLTP	[M+HCOO+5x(HCOONa)]-: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	31000	[M+HCOO+5x(HCOONa)]-	34	1	neg	1087.5026	8.77	8.49	8.91	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M+HCOO]-: Sphingomyelin (d*32:1)	SM(d*32:1)	in cellulo	30000	[M+HCOO]-	32	1	neg	719.5342	7.65	7.27	7.77	dSM";" DHSM	d*SM";;;
"GLTPD1	GLTP	[M-H]-: Ceramide phosphate (d*32:2)	CerP(d*32:2)	in cellulo	20000	[M-H]-	32	2	neg	586.4243	6.64	6.11	6.89	DHCer-1P";" dCer-1P	d*CerP";;;
"GM2A	ML	[M+H]+: Phosphatidylcholine (33:1)	PC(33:1)	in cellulo	470000	[M+H]+	33	1	pos	746.5571	9.16	9.04	11.26	PC	PC";;;;
"GM2A	ML	[M+H]+: Phosphatidylcholine (40:2)	PC(40:2)	in cellulo	420000	[M+H]+	40	2	pos	842.6587	13.79	13.58	14.42	PC	PC";;;;
"GM2A	ML	[M+H]+: Phosphatidylcholine (O-38:3)	PC(O-38:3)	in cellulo	390000	[M+H]+	38	3	pos	798.6334	12.72	12.07	13.66	PC-O	PC-O";;;;
"GM2A	ML	[M+H]+: Phosphatidylcholine (O-37:7)	PC(O-37:7)	in cellulo	150000	[M+H]+	37	7	pos	776.5535	11.12	10.88	11.41	PC-O	PC-O";;;;
"GM2A	ML	[M+H]+: Phosphatidylcholine (O-36:5)	PC(O-36:5)	in cellulo	150000	[M+H]+	36	5	pos	766.5686	9.85	9.75	10.15	PC-O	PC-O";;;;
"GM2A	ML	[M-H]-: Phosphatidylinositol (34:1) =>(18:1/16:0)	PI(34:1)	in cellulo	260000	[M-H]-	34	1	neg	835.5255	9.63	9.15	9.99	PI	PI";;;;
"GM2A	ML	[M-H]-: Phosphatidylglycerol (38:3)";" Bismonoacylglycerolphosphate (38:3) => (20:2/18:1)	PG/BMP(38:3)	in cellulo	150000	[M-H]-	38	3	neg	799.54	9.77	9.19	10.46	BMP";" PG	PG/BMP";;
"GM2A	ML	[M-H]-: Phosphatidylethanolamine (34:2) => (16:1/18:1)	PE(34:2)	in cellulo	150000	[M-H]-	34	2	neg	714.4999	10.12	9.82	10.54	PE	PE";;;;
"GM2A	ML	[M-H]-: Phosphatidylethanolamine (34:1) => (18:1/16:0)	PE(34:1)	in cellulo	140000	[M-H]-	34	1	neg	716.5157	11.3	11.01	11.51	PE	PE";;;;
"GM2A	ML	[M+HCOO]-: Phosphatidylcholine (31:1) => (16:1/15:0)	PC(31:1)	in cellulo	92000	[M+HCOO]-	31	1	neg	762.5208	8.93	8.55	9.61	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	5100000	[M+H]+	32	1	pos	732.5501	9.34	8.58	10.19	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (36:2) 	PC(36:2)	in cellulo	5000000	[M+H]+	36	2	pos	786.595	10.82	9.9	11.29	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	4900000	[M+H]+	34	1	pos	760.5771	10.66	10.36	11.09	PC	PC";;;;
"LCN1	lipocalin	[M+H]+:  Phosphatidylcholine (34:2)	PC(34:2)	in cellulo	4000000	[M+H]+	34	2	pos	758.5638	9.59	9.19	10.61	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (32:2)	PC(32:2)	in cellulo	2400000	[M+H]+	32	2	pos	730.5339	8.48	8	9.81	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (30:1)	PC(30:1)	in cellulo	1800000	[M+H]+	30	1	pos	704.5178	8.17	7.78	8.65	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-32:1)	PC(O-32:1)	in cellulo	1500000	[M+H]+	32	1	pos	718.5698	10.28	9.85	11.17	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-34:1)	PC(O-34:1)	in cellulo	1000000	[M+H]+	34	1	pos	746.6012	11.56	11.21	12.08	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (33:1)	PC(33:1)	in cellulo	660000	[M+H]+	33	1	pos	746.5643	10.06	6.96	10.66	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (34:3)	PC(34:3)	in cellulo	520000	[M+H]+	34	3	pos	756.5482	8.7	8.3	9.44	PC	PC";;;;
"LCN1	lipocalin	[M+H]+:Phosphatidylcholine (O-34:2)	PC(O-34:2)	in cellulo	470000	[M+H]+	34	2	pos	744.5844	10.49	10.02	11.01	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (31:1)	PC(31:1)	in cellulo	440000	[M+H]+	31	1	pos	718.5338	8.74	8.21	10.09	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (36:1)	PC(36:1)	in cellulo	380000	[M+H]+	36	1	pos	788.6105	12.09	11.73	12.5	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-36:2)	PC(O-36:2)	in cellulo	350000	[M+H]+	36	2	pos	772.6176	11.69	11.41	12.85	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-32:2)	PC(O-32:2)	in cellulo	320000	[M+H]+	32	2	pos	716.5531	10.09	8.93	10.6	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-34:2)	PC(O-34:2)	in cellulo	300000	[M+H]+	34	2	pos	744.5856	11.29	11.02	11.78	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (36:4)	PC(36:4)	in cellulo	280000	[M+H]+	36	4	pos	782.5635	9.53	8.43	10.43	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (33:2) 	PC(33:2)	in cellulo	260000	[M+H]+	33	2	pos	744.55	8.97	8.55	10.09	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (38:5)	PC(38:5)	in cellulo	230000	[M+H]+	38	5	pos	808.5804	9.65	9.11	10.17	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (30:0)	PC(30:0)	in cellulo	230000	[M+H]+	30	0	pos	706.5332	9.13	8.68	9.45	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (38:6)	PC(38:6)	in cellulo	210000	[M+H]+	38	6	pos	806.5648	9.28	8.21	10.17	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (O-38:6)	PC(O-38:6)	in cellulo	160000	[M+H]+	38	6	pos	792.585	10.23	9.81	10.85	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+Na]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	150000	[M+Na]+	32	1	pos	754.5295	9.32	9.02	9.81	PC	PC";;;;
"LCN1	lipocalin	[M+Na]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	140000	[M+Na]+	34	1	pos	782.5602	10.65	10.39	10.97	PC	PC";;;;
"LCN1	lipocalin	[M+Na]+:  Phosphatidylcholine (36:2)	PC(36:2)	in cellulo	140000	[M+Na]+	36	2	pos	808.5768	10.79	10.52	11.13	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Lysophosphatidylcholine (38:5)";" Phosphatidylcholine (O-38:5)	PC(O-38:5)/LPC(38:5)	in cellulo	140000	[M+H]+	38	5	pos	794.5989	10.49	10.07	11.17	PC-O";" Lyso-PC	PC-O";;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (31:0)	PC(31:0)	in cellulo	120000	[M+H]+	31	0	pos	720.549	9.51	9.19	9.89	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (40:7)	PC(40:7)	in cellulo	120000	[M+H]+	40	7	pos	832.5811	9.4	8.93	9.77	PC	PC";;;;
"LCN1	lipocalin	[M+Na]+: Phosphatidylcholine (34:2)	PC(34:2)	in cellulo	110000	[M+Na]+	34	2	pos	780.5453	9.53	9.19	10.11	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Phosphatidylcholine (30:2)	PC(30:2)	in cellulo	130000	[M+H]+	30	2	pos	702.503	7.56	7	8.22	PC	PC";;;;
"LCN1	lipocalin	[M+H]+: Sphingomyelin (d*34:1)	SM(d*34:1)	in cellulo	92000	[M+H]+	34	1	pos	703.5703	9.02	8.68	9.27	dSM";" DHSM	d*SM";;;
"LCN1	lipocalin	[M+H]+:Phosphatidylcholine (O-38:7)	PC(O-38:7)	in cellulo	65000	[M+H]+	38	7	pos	790.5694	9.84	9.36	10.19	PC-O	PC-O";;;;
"LCN1	lipocalin	[M+HCOO]-: Phosphatidylcholine (32:1) => (16:1/16:0)	PC(32:1)	in cellulo	140000	[M+HCOO]-	32	1	neg	776.5365	9.33	9.03	9.79	PC	PC";;;;
"LCN1	lipocalin	[M+HCOO]-: Phosphatidylcholine (34:1) => (18:1/16:0)	PC(34:1)	in cellulo	110000	[M+HCOO]-	34	1	neg	804.5664	10.64	10.38	10.93	PC	PC";;;;
"LCN1	lipocalin	[M+HCOO]-: Phosphatidylcholine (34:2) => (16:1/18:1)	PC(34:2)	in cellulo	100000	[M+HCOO]-	34	2	neg	802.5513	9.5	9.24	10.08	PC	PC";;;;
"OSBPL9	OSBP	[M+H]+: Phosphatidylserine (36:1) => (18:1/18:0)	PS(36:1)	in cellulo	210000	[M+H]+	36	1	pos	790.5675	10.59	10.22	10.79	PS	PS";;;;
"OSBPL9	OSBP	[M+H]+: Phosphatidylserine (34:1) => (18:1/16:0)	PS(34:1)	in cellulo	100000	[M+H]+	34	1	pos	762.5385	9.33	8.9	9.69	PS	PS";;;;
"OSBPL9	OSBP	[M+H]+: Phosphatidylserine (36:2) => (18:1/18:1)	PS(36:2)	in cellulo	88000	[M+H]+	36	2	pos	788.5539	9.5	9.03	9.97	PS	PS";;;;
"OSBPL9	OSBP	[M-H]-: Phosphatidylserine (36:1) => (18:0/18:1)	PS(36:1)	in cellulo	51000	[M-H]-	36	1	neg	788.5443	10.55	10.37	10.71	PS	PS";;;;
"OSBPL9	OSBP	[M-H]-: Phosphatidylserine (34:1) => (16:0/18:1)	PS(34:1)	in cellulo	41000	[M-H]-	34	1	neg	760.5137	9.31	9.07	9.62	PS	PS";;;;
"OSBPL9	OSBP	[M-H]-: Phosphatidylserine (36:2) => (18:1/18:1)	PS(36:2)	in cellulo	27000	[M-H]-	36	2	neg	786.5298	9.45	9.29	9.84	PS	PS";;;;
"PITPNA	IP_trans	[M+H]+: Phosphatidylcholine (33:1)	PC(33:1)	in cellulo	130000	[M+H]+	33	1	pos	746.5789	9.68	9.14	10.54	PC	PC";;;;
"PITPNA	IP_trans	[M+H]+: Phosphatidylcholine (30:1)	PC(30:1)	in cellulo	120000	[M+H]+	30	1	pos	704.5321	7.91	7.58	8.38	PC	PC";;;;
"PITPNB	IP_trans	[M+H]+: Phosphatidylcholine (32:1)	PC(32:1)	in cellulo	380000	[M+H]+	32	1	pos	732.5632	9.14	7.14	10.41	PC	PC";;;;
"PITPNB	IP_trans	[M+H]+: Phosphatidylcholine (34:1)	PC(34:1)	in cellulo	340000	[M+H]+	34	1	pos	760.5938	10.4	10.07	10.9	PC	PC";;;;
"PITPNB	IP_trans	[M+H]+: Phosphatidylcholine (34:2)	PC(34:2)	in cellulo	210000	[M+H]+	34	2	pos	758.5788	9.4	9	10.73	PC	PC";;;;
"PITPNB	IP_trans	[M+H]+: Phosphatidylcholine (30:0)	PC(30:0)	in cellulo	33000	[M+H]+	30	0	pos	706.5481	8.88	8.65	9.14	PC	PC";;;;
"RBP1	lipocalin	[M+H-H2O]+: Retinol	VA	in cellulo	290000	[M+H-H2O]+	NA	NA	pos	269.2245	4.79	4.11	4.92	VA	VA";;;;
